Strain	Species	Genus	Family	Class	correction	
nAF476946	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAF476945	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAF476944	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAF476943	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAF476942	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAF476941	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAF476940	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAF476939	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAF476938	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAF476937	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAF476936	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAF476935	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAF476934	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAF476933	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAF476932	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAF476931	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAF476930	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAF476929	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAF476928	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAF476927	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAF465709	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAF465708	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAF465707	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAF465706	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAF207527	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nGQ405018	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAF084612	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAF084611	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAF084610	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAF064744	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAF064743	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAF015589	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAF015588	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAF015587	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nFJ858974	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAM695635	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAM695634	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAM421004	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAM421003	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAM421002	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455982	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455977	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455975	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455972	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455970	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455966	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455964	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455962	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455957	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455956	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455955	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455953	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455951	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455948	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455939	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455938	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455937	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF431851	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF426797	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455935	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455933	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455932	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455931	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455930	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455925	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455922	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455920	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF426796	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF426794	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAJ874331	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEU912438	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF589159	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF589158	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAB266740	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAB280612	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAB280609	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAJ874715	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAJ874714	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAJ874713	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAJ874712	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAJ874711	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAJ874710	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAJ874709	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAJ874708	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAJ874707	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAJ874706	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAJ874705	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAJ874704	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAJ874703	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAJ874702	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAJ874701	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAJ874700	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAJ874699	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAJ874698	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAJ874340	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAJ874339	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAJ874338	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAJ874337	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAJ874336	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAJ874335	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAJ874334	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAJ874333	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAJ874332	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAJ874330	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAJ874329	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAJ871362	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAJ580925	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAJ580948	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAJ580947	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAJ580926	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAJ580924	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAJ579575	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAJ579574	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAJ579567	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAJ579573	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAJ579572	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAJ579571	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAJ579570	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAJ579569	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAJ579568	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAJ579566	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAJ579565	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAJ579564	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
